chybná_věta,opravená_věta
"Holky se potkaly na zastávce.","Holky se potkaly na zastávce."
"Všichni jsme byly spokojení.","Všichni jsme byli spokojení."
"Mé oči byly unavené.","Mé oči byly unavené."
"Bratři si hrály na dvorku.","Bratři si hráli na dvorku."
"Petr natírá býlou barvou zdi.","Petr natírá bílou barvou zdi."
"Táta spravoval plot a my jsme mu pomáhaly.","Táta spravoval plot a my jsme mu pomáhali."
"V parku seděly děti a hrály si.","V parku seděly děti a hrály si."
"Časopisy se rozprodaly během dne.","Časopisy se rozprodaly během dne."
"Slunce svítily na oblohu.","Slunce svítilo na oblohu."
"Naše kočka se schovávali pod stolem.","Naše kočka se schovávala pod stolem."
"Včera jsme byli na pláži a hráli si na písku.","Včera jsme byli na pláži a hráli jsme si na písku."
"Ty dívky byly velmi štastné, když viděly nový film.","Ty dívky byly velmi šťastné, když viděly nový film."
"Kluci se rozhodli, že si jdou zahrát hokej na stadion.","Kluci se rozhodli, že si jdou zahrát hokej na stadionu."
"Její nápady byly velice originální, ale nikdo je neakceptoval.","Její nápady byly velice originální, ale nikdo je neakceptoval."
"Včera večer jsme tancovali až do rána.","Včera večer jsme tancovali až do rána."
"Kočky se rado schovávají v temných koutech domu.","Kočky se rády schovávají v temných koutech domu."
"On se rozhodl, že se vrátí domů o den později.","On se rozhodl, že se vrátí domů o den později."
"Chlapci běželi přes hřiště a smáli se.","Chlapci běželi přes hřiště a smáli se."
"Ve škole jsme se učili o nové technologií.","Ve škole jsme se učili o nové technologii."
"Chlapci běželi k domu, ale zapomněli klíče.","Chlapci běželi k domu, ale zapomněli klíče."
"Holky se smáli celý den.","Holky se smály celý den."
"Byli jsme celý den venku, dokud nezačali pršet.","Byli jsme celý den venku, dokud nezačalo pršet."
"Máma upekla báječný dort a táta nám je doněl.","Máma upekla báječný dort a táta nám je donesl."
"Včera večer jsme si povídali a smáli jsme se až do noci.","Včera večer jsme si povídali a smáli se až do noci."
"Přijela nová paní učitelka, která nám učí matematiku.","Přijela nová paní učitelka, která nás učí matematiku."
"Její pes je velice hodný, ale trošku divoký.","Její pes je velice hodný, ale trošku divoký."
"Myslím, že jsme zapomněli na naši schůzku.","Myslím, že jsme zapomněli na naši schůzku."
"Ráda čtu knihy o historii a přítomnosti.","Ráda čtu knihy o historii a přítomnosti."
"Začali jsme se připravovat na dovolenou a balili jsme věci.","Začali jsme se připravovat na dovolenou a balili věci."
"Jsem unavený, ale přesto musím ještě něco udělat.","Jsem unavený, ale přesto musím ještě něco udělat."
"Ráno jsme se setkali a vyrazili na cestu.","Ráno jsme se setkali a vyrazili na cestu."
"Včera odpoledne jsme šli na procházku a viděli spoustu lidí.","Včera odpoledne jsme šli na procházku a viděli spoustu lidí."
"Práce na zahradě je pro mě velmi uspokojivá.","Práce na zahradě je pro mě velmi uspokojivá."
"Nezapomeňte vzít deštník, protože prší.","Nezapomeňte vzít deštník, protože prší."
"Můj pes rád běhá po lese a hraje si s ostatními psy.","Můj pes rád běhá po lese a hraje si s ostatními psy."
"Odpoledne jsme se sešli s přáteli v kavárně.","Odpoledne jsme se sešli s přáteli v kavárně."
"Vyjeli jsme na hory, kde jsme lyžovali celý den.","Vyjeli jsme na hory, kde jsme lyžovali celý den."
"Všichni jsme byli nadšení, když jsme dostali dárek.","Všichni jsme byli nadšení, když jsme dostali dárek."
"Včera jsem se vrátil z výletu a byl jsem celý den unavený.","Včera jsem se vrátil z výletu a byl jsem celý den unavený."
"Kamarádi přijeli na návštěvu a pozvali mě na večeři.","Kamarádi přijeli na návštěvu a pozvali mě na večeři."
"Když jsem byl malí, byl jsem často venku.","Když jsem byl malý, byl jsem často venku."
"Dívky se smály celí den.","Dívky se smály celý den."
"Kluci se usmívaly na všechny kolem.","Kluci se usmívali na všechny kolem."
"Auto je parky na parkovišti.","Auto je parkováno na parkovišti."
"Já a Petr jsme se učily na zkoušky.","Já a Petr jsme se učili na zkoušky."
"Kočka běhá po zahradě a skákaly přes plot.","Kočka běhá po zahradě a skáče přes plot."
"Návštěvníci byli udivení, jak je město krásné.","Návštěvníci byli udivení, jak je město krásné."
"Psa jsme vzali na procházku do lesa.","Psa jsme vzali na procházku do lesa."
"Máma mi uvařila chutné večeře.","Máma mi uvařila chutnou večeři."
"Ztratil jsem klíče od bytu a hledal je hodiny.","Ztratil jsem klíče od bytu a hledal je hodinu."
"Na stole jsou tři knihy a všechny jsou zajímavé.","Na stole jsou tři knihy a všechny jsou zajímavé."
"Chtěla jsem si koupit nový oblečení.","Chtěla jsem si koupit nové oblečení."
"Pes a kočka se pořád hrály v zahradě.","Pes a kočka se pořád hráli v zahradě."
"Děti běhají na ulici celý den.","Děti běhají na ulici celý den."
"Měli jsme strach z toho, co se stalo.","Měli jsme strach z toho, co se stalo."
"Přišli jsme později a dostali pokutu.","Přišli jsme později a dostali pokutu."
"Nezapomeň vzít tu knihu, je těžká.","Nezapomeň vzít tu knihu, je těžká."
"Děti byli nadšené z nové hračky.","Děti byly nadšené z nové hračky."
"Můj otec rád čte knihy a má hodně přátel.","Můj otec rád čte knihy a má hodně přátel."
"Skákal jsem do bazénu celý den.","Skákal jsem do bazénu celý den."
